tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
BCA000ETT14000070,Building and Construction Authority,"Design, development and commissioning of a Test Marking System to allow automated generating of theory and practical test papers from the question bank, marking of theory tests with Optical Mark Readers and practical tests deploying the use of tablets and administration of test results with the option to award up to five years of annual maintenance services for this system",2015-04-24,Awarded to Suppliers,HEULAB PTE. LTD.,505000
BCA000ETT14000071,Building and Construction Authority,Event Management Services for Urban Sustainability R&D Congress 2015,2015-03-23,Awarded to Suppliers,ORIGINAL MEDIA PRIVATE LIMITED,127126
BCA000ETT14000073,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR CARMICHAEL ESTATE,2015-04-27,Awarded to No Suppliers,na,0
BCA000ETT14000074,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR CASHEW AND HAZEL PARK TERRACE ESTATES,2015-03-06,Awarded to Suppliers,Advanced Construction & Engineering Pte Ltd,1747780
BCA000ETT14000075,Building and Construction Authority,Consultancy Services for The Development of Construction R&D Roadmaps to Improve Construction Productivity and Manage Excavated Materials,2015-06-09,Awarded to Suppliers,Meinhardt (Singapore) Pte Ltd,509000
BCA000ETT14000076,Building and Construction Authority,"For the appointment of an agency to design, develop, customise, install, test, commission and maintain the Building Careers Portal by the Building and Construction Authority (BCA) of Singapore",2015-04-02,Awarded to Suppliers,DIGITAL ALCHEMY (SINGAPORE) PTE. LTD.,115500
BCA000ETT14000078,Building and Construction Authority,APPOINTMENT OF MANAGING AGENT TO MAINTAIN FORESHORE STRUCTURES FOR THE BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF 3 1/2 YEARS,2015-05-07,Awarded to Suppliers,CPG Facilities Management Pte Ltd,584000
BCA000ETT14000079,Building and Construction Authority,"CONCEPTUALISATION, DESIGN, DEMOLITION, CONSTRUCTION, INSTALLATION, COMMISSION AND MAINTENANCE FOR THE BCA GALLERY REVAMP",2015-06-24,Awarded to Suppliers,Pico Art International Pte Ltd,3219800
BCA000ETT14000080,Building and Construction Authority,CONSULTANCY SERVICES FOR DESIGN CHECK ON THE TIMBER STRUCTURE OF THE NTU SPORTS HALL PROJECT,2015-06-22,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,78640
BCA000ETT14000082,Building and Construction Authority,"Design, Develop and Commission of New Workforce Training and Upgrading System (WTUS) Incorporating the Work Processes and Data of the Existing WTUS Including a) 1-year maintenance of existing WTUS b) 2-year maintenance with an option for another 3-year renewal for the new WTUS c) 150 man-day of option professional services for the provision of future system enhancement",2015-05-08,Awarded to Suppliers,TRANSCENTECH PTE. LTD.,328000
BCA000ETT14000083,Building and Construction Authority,MAINTENANCE SUPPORT SERVICES FOR BCA'S FINANCIAL MANAGEMENT SYSTEM (FMS) FOR A PERIOD OF 15 MONTHS WITH AN OPTION TO EXTEND ANOTHER SIX (6) MONTHS,2015-05-12,Awarded to Suppliers,STONE APPLE SOLUTIONS PTE. LTD.,106200
BCA000ETT15000001,Building and Construction Authority,TENDER FOR THE CONSULTANCY SERVICES TO STUDY AIRSIDE ENERGY EFFICIENCY PERFORMANCE IN EXISTING BUILDINGS AND PROPOSE SUITABLE BASELINE OF AIR SIDE EFFICIENCY (KW/RT) CRITERIA FOR THE NEXT VERSION OF GREEN MARK,2015-03-05,Awarded to Suppliers,6-SIGMA AUTOMATION PTE. LTD.,164500
BCA000ETT15000002,Building and Construction Authority,"Consultancy Services for SPRING Singapore's 3-in-1 (Innovation Class, People Developer and Service Class), Innovation Excellence Award (IEA) and Singapore Quality Award (Special Commendation) Certifications from 2015 to 2018",2015-03-23,Awarded to Suppliers,SERVICE QUALITY CENTRE PTE. LTD.,180250
BCA000ETT15000003,Building and Construction Authority,ONE YEAR TERM CONTRACT (WITH  OPTION TO EXTEND FOR ONE MORE YEAR) FOR CONDUCTING TESTING SERVICES (NON-DESTRUCTIVE TEST / PULL-OFF TEST / WATERTIGHTNESS TEST) FOR CONQUAS,2015-03-31,Awarded to Suppliers,AWCS TECHNOLOGIES PTE. LTD.,146275
BCA000ETT15000003,Building and Construction Authority,ONE YEAR TERM CONTRACT (WITH  OPTION TO EXTEND FOR ONE MORE YEAR) FOR CONDUCTING TESTING SERVICES (NON-DESTRUCTIVE TEST / PULL-OFF TEST / WATERTIGHTNESS TEST) FOR CONQUAS,2015-03-31,Awarded to Suppliers,Cast Laboratories Pte Ltd,146275
BCA000ETT15000003,Building and Construction Authority,ONE YEAR TERM CONTRACT (WITH  OPTION TO EXTEND FOR ONE MORE YEAR) FOR CONDUCTING TESTING SERVICES (NON-DESTRUCTIVE TEST / PULL-OFF TEST / WATERTIGHTNESS TEST) FOR CONQUAS,2015-03-31,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,146275
BCA000ETT15000004,Building and Construction Authority,"To purchase equipments (Include one microfiche scanner, two PCs with monitors & CPUs & two hard disk) to digitize & process documents and drawings from microfiches and aperture cards with 2 years maintenance period",2015-04-21,Awarded to Suppliers,MICROIMAGE SYSTEMS PTE. LTD.,85776
BCA000ETT15000006,Building and Construction Authority,Purchase of new Workstation Computers and All-In-One Computers for BCA Academy's new Building and existing building projects,2015-05-05,Awarded to Suppliers,UIC Asian Computer Services Pte Ltd,456277
BCA000ETT15000007,Building and Construction Authority,Provision for Ballroom and Dinner for BCA Awards Ceremony & Dinner 2015,2015-03-17,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,229075
BCA000ETT15000009,Building and Construction Authority,"REINSTATEMENT WORKS & SALE & DISPOSAL OF FURNITURE & FIXTURES FOR BCA & AVA OFFICE AT 5 MAXWELL ROAD, TOWER BLOCK, MND COMPLEX",2015-02-23,Awarded to Suppliers,P & A LINK PTE LTD,506779
BCA000ETT15000010,Building and Construction Authority,Appointment of an Events Management Company to Manage BCA Awards Ceremony and Dinner 2015,2015-05-04,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED,338902.5
BCA000ETT15000011,Building and Construction Authority,APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS AGENCY FOR THE CONCEPTUALISATION AND MANAGEMENT OF BCA-LEGO COMPETITION 2015 (WORKING TITLE ONLY),2015-04-02,Awarded to Suppliers,ADDICTION ADVERTISING PTE. LTD.,209120
BCA000ETT15000012,Building and Construction Authority,APPOINTMENT OF A VENDOR TO MANAGE BCAS BUILD IT GREEN (BIG) CLUB JUNIOR FOR A PERIOD OF 2 YEARS,2015-03-05,Awarded to Suppliers,Star Horizon Learning Pte Ltd,138558
BCA000ETT15000013,Building and Construction Authority,Term Contract for the leasing of one unit of digital copier to MDD Office in BCA Academy for a period of twenty-four months,2015-06-24,Awarded to Suppliers,Fuji Xerox Singapore Pte Ltd,102192
BCA000ETT15000021,Building and Construction Authority,Term contract for Routine Preventive and Ad-hoc Improvement services to existing Electrical installation in BCA Academy,2015-05-22,Awarded to Suppliers,LEE SIN PTE. LTD.,0
BCA000ETT15000023,Building and Construction Authority,Term Contract for the Supply and Performance of Structural Rectification Works and Services,2015-06-03,Awarded to Suppliers,WOH HUP (PRIVATE) LIMITED,1200
BCA000ETT15000025,Building and Construction Authority,"Appointment of an Integrated Marketing Communications/Events Management Agency to provide conceptualisation and events management services, launch mechanism and materials for Opening Ceremony of Singapore Universal Design (UD) Week 2015.",2015-06-24,Awarded to Suppliers,Pico Art International Pte Ltd,70648
BCA000ETT15000026,Building and Construction Authority,Development and implementation of Training & Finance Management System with an Online Registration Portal for Building and Construction Authority Academy including (a) three years maintenance of TFMS (b) an option for two years maintenance of TFMS (c) an option to purchase 180 man-days during contract period,2015-10-05,Awarded to Suppliers,I-ACCESS SOLUTIONS PTE. LTD.,1122885
BCA000ETT15000027,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR LIMAU ESTATE,2015-09-28,Awarded to Suppliers,SHIN KHAI CONSTRUCTION PTE. LTD.,5167530
BCA000ETT15000029,Building and Construction Authority,System Enhancement to Building Energy Submission System (BESS) with One Year Maintenance Support inclusive of Additional Professional Services and Option to Renew the Maintenance Support with Additional Professional Services Up to Two Years,2015-09-23,Awarded to Suppliers,NEC ASIA PACIFIC PTE. LTD.,225369
BCA000ETT15000030,Building and Construction Authority,Design and Development of common platform mobile applications and backend applications with Two (2) years maintenance and supports,2015-09-15,Awarded to Suppliers,FPT ASIA PACIFIC PTE. LTD.,238560
BCA000ETT15000031,Building and Construction Authority,Design and Production of BuildGreen Magazine and BCA Building Energy Benchmarking Report (BCA BEBR) with Info Post-Card and Building Energy Performance 'Label' for two (2) years with an option to extend for one (1) additional year.,2015-08-13,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd,132450
BCA000ETT15000032,Building and Construction Authority,Multi-Disciplinary consultancy services for the repair and restoration of Pulau Punggol Timor Aggregate Terminal and Tuas Aggregate Terminal,2015-08-24,Awarded to Suppliers,LEE & LEE CONSULTANTS PTE LTD,840000
BCA000ETT15000033,Building and Construction Authority,"APPOINTMENT OF AN AGENCY TO PROVIDE CONCEPTUALISATION, PRODUCTION AND MANAGEMENT SERVICES FOR UNIVERSAL DESIGN AUGMENTED REALITY CAMPAIGN 2015",2015-08-03,Awarded to Suppliers,REVEZ MOTION PTE. LTD.,239772.5
BCA000ETT15000034,Building and Construction Authority,"APPOINTMENT OF AN EVENT MANAGEMENT / INTEGRATED COMMUNICATIONS COMPANY TO CONCEPTUALISE, DEVELOP, AND PROVIDE EVENT MANAGEMENT SERVICES FOR BCA GREEN MARK POP-UP STORE/OFFICE",2015-07-28,Awarded to Suppliers,Pico Art International Pte Ltd,316100
BCA000ETT15000035,Building and Construction Authority,APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS COMPANY TO CONCEPTUALISE AND MANAGE THE PUBLICITY CAMPAIGN FOR THE BCA GREEN MARK POP-UP STORE/OFFICE,2015-08-12,Awarded to Suppliers,ATOMZ I! PTE. LTD.,310670
BCA000ETT15000036,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR CARMICHAEL ESTATE,2015-11-09,Awarded to Suppliers,MASTERCRAFT SYSTEMS PRIVATE LIMITED,150888
BCA000ETT15000037,Building and Construction Authority,Purchase and setup of new equipment for BCA BIM Studio at the BCA Academy,2015-07-14,Awarded to Suppliers,01 COMPUTER SYSTEM PTE LTD,826131
BCA000ETT15000037,Building and Construction Authority,Purchase and setup of new equipment for BCA BIM Studio at the BCA Academy,2015-07-14,Awarded to Suppliers,Innocom Technologies Pte Ltd,826131
BCA000ETT15000037,Building and Construction Authority,Purchase and setup of new equipment for BCA BIM Studio at the BCA Academy,2015-07-14,Awarded to Suppliers,NETE2 ASIA PTE LTD,826131
BCA000ETT15000039,Building and Construction Authority,PILOT IMPLEMENTATION OF A CLOUD-HOSTED OPEN-SOURCE CHILLER EFFICIENCY SMART PORTAL,2015-11-05,Awarded to Suppliers,S & I Systems Pte Ltd,558302
BCA000ETT15000040,Building and Construction Authority,"Multi-Disciplinary Consultancy Services For Design Development & Build Of A Vehicular Bridge, At-Grade Roads And Other Associated Works At Pulau Punggol Barat",2015-10-19,Awarded to Suppliers,T.Y.LIN INTERNATIONAL PTE. LTD.,2429000
BCA000ETT15000041,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME(EUP) BATCH 8 FOR BARTLEY NEIGHBOURHOOD ESTATE,2015-10-12,Awarded to Suppliers,SHIN KHAI CONSTRUCTION PTE. LTD.,3861862
BCA000ETT15000042,Building and Construction Authority,DESIGN AND CONSTRUCTION OF BCA GREEN PAVILION AT BEX ASIA 2015 (2-4 SEP),2015-08-27,Awarded to Suppliers,Pico Art International Pte Ltd,148000
BCA000ETT15000044,Building and Construction Authority,"APPOINTMENT OF AGENCY FOR THE CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGEMENT OF PROJECT BUILD EXHIBITION 2015",2015-09-09,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,211336
BCA000ETT15000045,Building and Construction Authority,APPOINTMENT OF PROFESSIONAL ENGINEER TO INSPECT AND MONITOR FORESHORE STRUCTURES FOR THE BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF THREE (3) YEARS,2015-10-27,Awarded to Suppliers,ABL CONSULTANTS PTE. LTD.,477320
BCA000ETT15000046,Building and Construction Authority,"UPGRADING AND MAINTENANCE OF THE WEIGHBRIDGE SYSTEM, INCLUDING DEVELOPMENT OF NEW CONTROLLING SOFTWARE, AT PULAU PUNGGOL AGGREGATE TERMINAL",2015-08-31,Awarded to No Suppliers,na,0
BCA000ETT15000047,Building and Construction Authority,Appointment Of An Exhibition Specialist To Conceptualise And Construct BCA Pavilion At The BuildTech Asia 2015 Exhibition,2015-09-18,Awarded to Suppliers,Pico Art International Pte Ltd,368200
BCA000ETT15000048,Building and Construction Authority,PROPOSED ESTATE UPGRADING PROGRAMME (EUP)BATCH 8 FOR GOLDHILL ESTATE,2015-12-28,Awarded to Suppliers,Tuffi Build Pte Ltd,1062920
BCA000ETT15000049,Building and Construction Authority,"APPOINTMENT OF INTEGRATED MARKETING COMMUNICATIONS AGENCY TO CONCEPTUALISE, DESIGN AND MANAGE PROJECT BUILD EXHIBITION 2015 PUBLICITY CAMPAIGN",2015-09-09,Awarded to Suppliers,FOUNDATION COMMUNICATIONS PTE. LTD.,121044
BCA000ETT15000050,Building and Construction Authority,"DESIGN, FABRICATE, SUPPLY AND INSTALL ONE SET OF 2-POINT MOORING SYSTEM OFF THE COAST OF PULAU PUNGGOL BARAT",2015-09-21,Awarded to Suppliers,QUIN RIGHT ENTERPRISES (PTE) LTD,278000
BCA000ETT15000051,Building and Construction Authority,Civil and Structural Engineering Consultancy Services for Proposed Road Widening and Sewer Work along Lorong Lada Hitam,2015-10-23,Awarded to Suppliers,FONG CONSULT PTE. LTD.,290000
BCA000ETT15000054,Building and Construction Authority,"PROVISION OF SOFTWARE, USER LICENSES AND PROFESSIONAL SERVICES TO STUDY, UPGRADE OR REVAMP AND MAINTAIN BCA HUMAN RESOURCE (HR) SYSTEM FROM 1 JAN 2016 to 31 DEC 2017  WITH AN OPTION TO EXTEND THE SYSTEM MAINTENANCE SERVICE FOR ANOTHER ONE YEAR",2015-12-08,Awarded to Suppliers,UNIT4 ASIA PACIFIC PTE. LTD.,560933.14
BCA000ETT15000055,Building and Construction Authority,Consultancy Service For Benchmarking Study On The Progressiveness Of Singapores Building Control Processes/ Framework,2015-11-02,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,488000
BCA000ETT15000059,Building and Construction Authority,"UPGRADING AND MAINTENANCE OF THE WEIGHBRIDGE SYSTEM, INCLUDING TECHNOLOGY REFRESH OF ALL IT EQUIPMENT AND DEVELOPMENT OF NEW CONTROLLING SOFTWARE, AT PULAU PUNGGOL AGGREGATE TERMINAL",2015-12-08,Awarded to Suppliers,CSD INDUSTRIES PTE LTD,588000
BCA000ETT15000061,Building and Construction Authority,TERM CONTRACT FOR THE PROVISION OF ENGINEERING SERVICES TO INSPECT BUILDINGS,2015-12-23,Awarded to Suppliers,JIB SPECIALIST CONSULTANTS PTE. LTD.,0
BCA000ETT15000065,Building and Construction Authority,PROVISION OF BALLROOM AND DINNER FOR BCA ANNUAL DINNER 2016,2015-11-23,Awarded to Suppliers,CITY HOTELS PTE. LTD.,70400
CAA000ETT14000042,Civil Aviation Authority of Singapore,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,2015-02-23,Awarded to Suppliers,"INGENIERIA Y ECONOMIA DEL TRANSPORTE, S.A.",3909524.19
CAA000ETT14000042,Civil Aviation Authority of Singapore,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,2015-02-23,Awarded to Suppliers,NATS (SERVICES) LIMITED,3909524.19
CAA000ETT14000043,Civil Aviation Authority of Singapore,Supply and Installation of Splash Screen for Diesel Storage Tanks,2015-01-27,Awarded to Suppliers,AGITECH INNOVATIONS PRIVATE LIMITED,169500
CAA000ETT14000046,Civil Aviation Authority of Singapore,"To conceptualize an optimal security and facilitation configuration for Changi East Industrial Zone (CEIZ) and Airport Logistics Parks (ALPS) II, review the current security and facilitation configuration of Changi Airfreight Centre (CAC) and ALPS, and propose how the optimal configuration that was proposed for CEIZ and ALPS II can also be implemented in CAC and ALPS.",2015-02-03,Awarded to Suppliers,ASERO WORLDWIDE LTD,390000
CAA000ETT14000048,Civil Aviation Authority of Singapore,Three Years Period Contract for the Supply of Diesel,2015-01-13,Awarded to Suppliers,CNC PETROLEUM PTE. LTD.,111029.6
CAA000ETT14000049,Civil Aviation Authority of Singapore,"Conceptualisation, Design, Provision and Operation of Exhibition Bus.",2015-01-07,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,613900
CAA000ETT14000050,Civil Aviation Authority of Singapore,Multi-Disciplinary Design Consultancy Services for the Proposed CAAS Buildings Near Singapore Changi Airport,2015-03-26,Awarded to Suppliers,SURBANA JURONG INFRASTRUCTURE PTE. LTD.,1794000
